Location,Terminal,Effective_Time,C-ULSD2,D-ULSD2,87-E10,85-E10,C-ULSD1,C-ULSD2-W-MtnF,D-ULSD2-W-MtnF,D-ULSD1,C-ULSD2-W-ProP,D-ULSD2-W-ProP,C-ULSD2-ProP,D-ULSD2-ProP,88-E10,89-E10,91-E10,88-MID
"Denver, CO",P66-Commerce City-ct,2025-01-07 09:00:00,2.1435,1.9731,,2.4871,,,,,,,,,,,,
"Evanston, WY",SilverE-Evstn-UT,2025-01-06 18:00:00,,,,1.795,,,,,,,,,,,,
"Grand Junction, CO",Suncor-GrandJ-ct,2025-01-07 00:00:00,2.3445,3.215,,,2.845,,,,,,,,,,,
"Las Vegas, NV",Valero-Sparks-ct,2025-01-07 00:00:00,2.1401,2.2701,,,,,,,,,,,,,,
"Las Vegas, NV",IA-Reno,2025-01-07 00:00:00,2.4107,2.18,,,,,,,,,,,,,,
"Las Vegas, NV",BigWest-LV,2025-01-07 00:00:00,3.1218,,,,,,,,,,,,,,,
"Las Vegas, NV",IA-LV,2025-01-07 09:00:00,2.45,2.235,2.395,,,,,,,,,,,,,
"Las Vegas, NV",PBF-Las Vegas-ct-KM,2025-01-06 23:59:00,2.3269,,,,,,,,,,,,,,,
"Las Vegas, NV",MPC-LV-ct-gas,2025-01-06 23:59:00,2.1207,,,,,,,,,,,,,,,
"Las Vegas, NV",US Oil-LV,2025-01-06 18:00:00,,,,,,,,,,,,,,,,
"Las Vegas, NV",Valero-LV-KM dsl-ct,2025-01-06 23:59:00,2.5387,,,,,,,,,,,,,,,
"Phoenix, AZ",BHA-PHX,2025-01-06 18:00:00,2.422,2.108,,,,,,,,,,,,,,
"Phoenix, AZ",PHX-HFC-caljet-338407,2025-01-07 00:00:00,2.405,2.0325,2.6525,,,,,,,,,,,,,
"Phoenix, AZ",HFC-PHX-km,2025-01-07 00:00:00,2.405,2.0325,2.6525,,,,,,,,,,,,,
"Phoenix, AZ",IA-PHX,2025-01-07 00:00:00,2.485,2.05,2.28,,,,,,,,,,,,,
"Phoenix, AZ",MPC-PHX-ct,2025-01-07 00:00:00,2.386,,,,,,,,,,,,,,,
"Salt Lake City, UT",SilverE-SLC,2025-01-06 18:00:00,2.19,3.145,,,,,,,,,,,,,,
"Salt Lake City, UT",Chv-SLC-uct,2025-01-06 23:59:00,2.5269,3.1754,,,,,,,,,,,,,,
"Salt Lake City, UT",BigWest-SLC,2025-01-07 00:00:00,2.3108,2.69,,,,,,,,,,,,,,
"Salt Lake City, UT",SLC-MPC-ct-NV-578037,2025-01-07 00:00:00,2.3208,2.3803,,,,,,,,,,,,,,
"Tucson, AZ",US Oil-Tucson,2025-01-06 18:00:00,5.05,,,,,,,,,,,,,,,
"Tucson, AZ",MPC-Tucson-ct,2025-01-06 23:59:00,2.4517,2.0325,,,,,,,,,,,,,,
