terminal_code
Flint Hills-PHX
SilverE-Evstn-UT
HFC-Grand Jct-Rack
HFC-Grand Junct
Suncor-GrandJ
Chv-LV-B-unev
TSO-LV-km
XOM-LV-U
HFC-PHX-km
Sunoco-PHX
TSO-PHX-cj
TSO-PHX-km
SilverE-SLC
TSO-SLC-dsl-ct • SLC-TSO-UCT-NV-31839 612/31/2020 23:59 1.5646 1.5696 • SLC-TSO-UCT-UT-31840 212/31/2020 23:59 1.5646 1.5696 9.0050 9.0050 1.6080 1.6130 TSO-SLC-ub • SLC-TSO-U-NV-306135
Valero-Sparks
• SLC-TSO-U-UT-305666
HFC-Tucson-hep
TSO-Tucson
HFC-LV-unev • LV-HFC-Unev-AZ-200003 812/31/2020 23:59 1.7728 1.7778 3.0100 3.4000 • LV-HFC-Unev-AZ-topt-200 019912/31/2020 23:59 1.7728 1.7778 0.0230 3.0130 3.4030 • LV-HFC-Unev-NV-200003 712/31/2020 23:59 1.7728 1.7778 3.0100 3.4000 • LV-HFC-Unev-UT-58409
Valero-Sparks-ct
HFC-LV-unev • LV-HFC-Unev-AZ-200003 801/01/2021 00:00 1.7728 1.7778 2.0850 2.4850 • LV-HFC-Unev-AZ-topt-200 019901/01/2021 00:00 1.7728 1.7778 1.4080 2.0880 2.4880 • LV-HFC-Unev-NV-200003 701/01/2021 00:00 1.7728 1.7778 2.0850 2.4850 • LV-HFC-Unev-UT-58409
IA-LV
Alon-PHX • PHX-Alon-caljet-23002
IA-PHX
• PHX-Alon-km-76

IA-Reno
TSO-SLC-dsl-ct • SLC-TSO-UCT-NV-31839 612/31/2020 23:59 1.5646 1.5696 • SLC-TSO-UCT-UT-31840 201/01/2021 00:00 1.5646 1.5696 9.0050 9.0050 1.6080 1.6130 TSO-SLC-ub • SLC-TSO-U-NV-306135
